date;jour;b1;b2;b3;b4;b5;chance
2010-07-21;MERCREDI;3;9;21;43;45;1
2010-07-24;SAMEDI;7;16;18;33;43;5
2010-07-26;LUNDI;4;23;37;42;43;7
2010-07-28;MERCREDI;7;10;25;37;47;10
2010-07-31;SAMEDI;2;8;25;28;44;4
2010-08-02;LUNDI;16;32;37;38;44;3
2010-08-04;MERCREDI;8;9;22;32;46;8
2010-08-07;SAMEDI;5;6;27;43;46;7
2010-08-09;LUNDI;7;8;15;18;25;6
2010-08-11;MERCREDI;5;7;8;22;26;2
2010-08-14;SAMEDI;9;11;21;27;49;5
2010-08-16;LUNDI;13;22;28;31;40;9
2010-08-18;MERCREDI;23;27;43;46;49;6
2010-08-21;SAMEDI;8;14;29;44;48;7
2010-08-23;LUNDI;9;16;28;41;49;5
2010-08-25;MERCREDI;19;23;36;39;49;3
2010-08-28;SAMEDI;13;16;18;19;20;2
2010-08-30;LUNDI;3;16;22;28;49;4
2010-09-01;MERCREDI;16;20;21;33;39;2
2010-09-04;SAMEDI;9;11;15;42;49;3
2010-09-06;LUNDI;17;19;22;29;43;8
2010-09-08;MERCREDI;13;21;24;44;47;3
2010-09-11;SAMEDI;7;13;36;41;45;5
2010-09-13;LUNDI;8;25;33;39;43;8
2010-09-15;MERCREDI;1;8;30;38;40;6
2010-09-18;SAMEDI;1;7;11;33;43;1
2010-09-20;LUNDI;1;17;25;37;45;9
2010-09-22;MERCREDI;2;14;17;37;38;1
2010-09-25;SAMEDI;5;12;21;29;42;2
2010-09-27;LUNDI;1;15;22;23;46;9
2010-09-29;MERCREDI;25;26;32;33;41;3
2010-10-02;SAMEDI;7;13;16;35;41;1
2010-10-04;LUNDI;7;9;29;31;46;8
2010-10-06;MERCREDI;6;25;33;37;43;1
2010-10-09;SAMEDI;2;17;23;26;43;3
2010-10-11;LUNDI;1;4;9;20;35;8
2010-10-13;MERCREDI;9;22;25;33;44;3
2010-10-16;SAMEDI;1;13;22;37;46;9
2010-10-18;LUNDI;1;26;29;31;38;5
2010-10-20;MERCREDI;11;13;18;24;33;7
2010-10-23;SAMEDI;9;14;16;47;49;7
2010-10-25;LUNDI;4;10;36;40;41;10
2010-10-27;MERCREDI;3;13;15;32;46;5
2010-10-30;SAMEDI;4;14;22;35;38;5
2010-11-01;LUNDI;1;15;17;24;28;10
2010-11-03;MERCREDI;6;15;33;46;49;1
2010-11-06;SAMEDI;7;19;24;35;42;3
2010-11-08;LUNDI;6;9;14;35;47;9
2010-11-10;MERCREDI;16;20;39;47;48;4
2010-11-13;SAMEDI;5;17;25;29;38;2
2010-11-15;LUNDI;14;17;20;33;47;1
2010-11-17;MERCREDI;4;9;30;38;46;10
2010-11-20;SAMEDI;1;11;12;27;29;2
2010-11-22;LUNDI;4;17;21;23;26;2
2010-11-24;MERCREDI;14;20;22;32;47;5
2010-11-27;SAMEDI;9;10;15;43;44;5
2010-11-29;LUNDI;15;16;23;30;41;8
2010-12-01;MERCREDI;14;31;32;34;46;3
2010-12-04;SAMEDI;7;12;15;24;33;6
2010-12-06;LUNDI;13;25;30;33;36;9
2010-12-08;MERCREDI;4;15;19;24;44;1
2010-12-11;SAMEDI;3;9;11;28;38;1
2010-12-13;LUNDI;6;9;14;40;49;3
2010-12-15;MERCREDI;4;6;16;28;37;8
2010-12-18;SAMEDI;11;22;35;40;41;7
2010-12-20;LUNDI;6;9;13;23;32;4
2010-12-22;MERCREDI;1;8;18;29;36;9
2010-12-25;SAMEDI;7;10;16;29;30;5
2010-12-27;LUNDI;13;30;39;42;44;9
2010-12-29;MERCREDI;11;15;29;46;47;3
2011-01-01;SAMEDI;11;34;43;46;49;3
2011-01-03;LUNDI;10;18;30;34;37;2
2011-01-05;MERCREDI;4;5;27;32;47;5
2011-01-08;SAMEDI;12;30;31;34;47;10
2011-01-10;LUNDI;11;33;35;37;40;4
2011-01-12;MERCREDI;17;28;30;40;41;7
2011-01-15;SAMEDI;6;26;29;36;43;8
2011-01-17;LUNDI;21;24;36;48;49;5
2011-01-19;MERCREDI;1;4;12;13;36;4
2011-01-22;SAMEDI;6;8;13;27;31;7
2011-01-24;LUNDI;3;6;9;39;48;4
2011-01-26;MERCREDI;6;17;23;45;48;1
2011-01-29;SAMEDI;12;14;31;33;44;8
2011-01-31;LUNDI;3;10;13;20;43;5
2011-02-02;MERCREDI;6;22;23;27;44;3
2011-02-05;SAMEDI;1;6;22;31;37;7
2011-02-07;LUNDI;6;8;25;35;49;1
2011-02-09;MERCREDI;15;27;31;41;43;7
2011-02-12;SAMEDI;2;4;13;38;45;2
2011-02-14;LUNDI;9;31;35;40;48;1
2011-02-16;MERCREDI;8;32;33;35;44;9
2011-02-19;SAMEDI;1;2;25;32;49;6
2011-02-21;LUNDI;9;20;21;36;46;6
2011-02-23;MERCREDI;2;5;21;28;33;10
2011-02-26;SAMEDI;10;24;26;35;48;1
2011-02-28;LUNDI;17;20;31;40;49;6
2011-03-02;MERCREDI;2;3;20;22;40;7
2011-03-05;SAMEDI;11;27;31;44;45;2
2011-03-07;LUNDI;7;9;17;23;38;5
2011-03-09;MERCREDI;3;9;15;29;43;8
2011-03-12;SAMEDI;15;16;22;33;34;9
2011-03-14;LUNDI;27;32;34;36;38;7
2011-03-16;MERCREDI;7;14;20;23;32;4
2011-03-19;SAMEDI;1;10;11;23;26;8
2011-03-21;LUNDI;3;23;28;31;40;1
2011-03-23;MERCREDI;4;10;13;21;24;5
2011-03-26;SAMEDI;4;17;26;30;34;9
2011-03-28;LUNDI;10;15;16;43;46;1
2011-03-30;MERCREDI;15;23;27;29;43;10
2011-04-02;SAMEDI;5;7;24;35;46;3
2011-04-04;LUNDI;10;12;13;23;37;7
2011-04-06;MERCREDI;1;12;19;32;44;3
2011-04-09;SAMEDI;6;20;22;31;41;8
2011-04-11;LUNDI;3;13;22;32;47;6
2011-04-13;MERCREDI;6;23;33;38;43;1
2011-04-16;SAMEDI;6;17;24;35;47;8
2011-04-18;LUNDI;6;7;10;21;22;5
2011-04-20;MERCREDI;15;17;18;33;41;9
2011-04-23;SAMEDI;8;21;28;32;40;9
2011-04-25;LUNDI;2;10;18;21;34;2
2011-04-27;MERCREDI;5;14;23;26;28;6
2011-04-30;SAMEDI;2;8;9;42;49;3
2011-05-02;LUNDI;1;4;23;25;40;2
2011-05-04;MERCREDI;7;11;13;29;44;2
2011-05-07;SAMEDI;3;28;37;38;42;8
2011-05-09;LUNDI;3;13;22;26;48;7
2011-05-11;MERCREDI;14;26;28;38;45;5
2011-05-14;SAMEDI;3;31;35;38;42;8
2011-05-16;LUNDI;9;11;41;43;46;8
2011-05-18;MERCREDI;16;17;23;27;47;1
2011-05-21;SAMEDI;5;14;15;27;35;10
